Winner/Tie,PtsW,Home,Loser/Tie,PtsL
62,28,1,94,17
71,49,1,122,24
78,45,1,177,13
80,45,1,153,38
84,55,1,178,3
85,34,1,61,31
89,56,2,134,14
93,41,0,34,14
95,42,1,91,41
97,27,1,109,22
98,37,1,164,31
100,23,1,4,17
101,48,1,174,31
113,21,2,179,9
125,17,1,79,14
127,20,1,204,14
129,17,1,166,14
131,52,2,90,24
133,37,1,74,20
136,36,2,38,31
141,38,2,70,27
143,28,1,65,14
145,26,1,96,24
150,33,1,111,10
152,47,2,8,21
175,37,1,132,33
176,35,1,68,30
180,20,2,202,19
186,30,2,185,28
190,24,1,138,19
192,34,2,117,17
198,33,1,77,14
30,31,1,23,24
111,30,1,56,27
149,24,2,113,14
166,34,1,196,17
3,29,1,95,19
4,14,2,11,13
6,56,1,122,21
12,52,2,61,10
18,61,1,175,58
21,30,2,119,14
22,31,2,130,13
31,34,2,125,17
36,23,1,87,17
39,31,2,110,24
43,31,2,62,25
45,28,2,157,17
48,37,1,24,27
55,38,2,169,20
59,34,2,102,0
60,47,1,68,24
65,38,1,206,28
66,28,2,93,24
73,45,1,71,29
74,37,1,180,30
80,48,1,86,14
82,55,2,8,48
83,30,2,51,27
89,49,1,98,24
91,40,2,79,17
94,55,1,34,34
96,18,1,137,13
97,45,2,141,31
99,24,1,127,17
100,35,2,174,20
101,38,1,15,23
108,51,1,191,14
129,50,1,117,43
132,31,0,173,26
133,27,2,77,20
135,42,2,185,30
143,41,2,14,21
161,28,2,9,26
170,35,1,184,24
171,45,1,33,10
178,42,1,134,35
179,16,1,54,13
182,41,1,114,24
183,12,1,40,3
187,34,1,2,16
188,21,1,32,20
195,31,2,26,7
198,37,2,177,34
202,42,2,17,38
204,38,1,70,28
85,34,2,176,10
138,21,1,192,16
186,29,2,136,23
20,37,1,56,27
66,31,1,170,10
2,35,1,113,31
4,59,1,174,0
8,53,2,182,14
10,26,1,166,10
17,32,2,31,29
30,20,1,183,13
34,41,2,163,3
36,17,2,21,13
39,16,1,187,13
43,20,1,190,13
53,45,1,201,38
55,31,1,129,27
59,45,0,11,32
68,29,1,114,17
78,31,2,132,30
79,39,1,14,17
83,41,1,80,3
84,27,1,179,20
87,30,1,119,18
89,45,2,54,13
90,38,1,73,31
91,36,0,48,14
97,56,2,71,17
98,34,1,6,22
99,39,1,141,38
100,34,1,171,3
102,42,2,51,13
109,38,2,127,17
110,42,2,23,35
117,48,1,62,43
125,51,1,95,41
130,23,1,3,20
131,56,1,145,17
135,45,1,195,20
149,20,1,65,10
150,27,2,206,20
152,30,1,61,27
153,41,1,57,10
157,38,2,184,30
161,56,1,38,28
164,30,2,122,20
169,30,2,194,7
173,48,1,74,45
175,42,1,133,9
177,34,1,77,21
185,36,2,26,34
198,41,1,18,27
202,26,2,22,14
85,55,1,12,40
45,31,1,40,21
94,30,2,192,6
20,55,1,23,30
34,34,0,157,17
135,59,0,26,41
152,27,1,182,13
4,34,2,171,20
9,59,2,196,37
10,24,2,195,10
11,45,1,6,17
15,42,1,153,35
17,35,1,3,21
21,23,2,194,17
30,34,1,170,14
31,20,2,24,14
36,16,1,169,6
39,45,1,206,31
60,69,2,61,31
62,56,2,138,28
70,28,1,99,24
78,23,1,173,0
83,10,1,100,7
